,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,pageview_sum,pageview_mean,PIE,PACE,SALARY,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
215,230,Matt Barnes,SF,36,24.0,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1,534343,1459.9535519125684,8.1,97.99,,GS/SAC,74,24.0,-1.18,-0.09,-1.27,2.07,50.0,7.0
216,231,Tim Frazier,PG,26,23.5,2.5,6.2,0.40299999999999997,0.6,2.0,0.313,1.9,4.2,0.446,0.45299999999999996,1.5,2.0,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2.0,7.1,101707,277.8879781420765,8.4,99.84,2090000.0,NO,65,23.5,-0.73,-1.67,-2.4,0.7,,
217,232,Joe Ingles,SF,29,24.0,2.5,5.5,0.452,1.5,3.4,0.441,1.0,2.1,0.47100000000000003,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2.0,7.1,131576,359.4972677595628,8.9,94.04,2150000.0,UTAH,82,24.0,2.29,0.26,2.55,6.68,86.5,4.0
218,233,Brandon Jennings,PG,27,22.2,2.4,6.6,0.359,1.0,3.1,0.313,1.4,3.5,0.39899999999999997,0.433,1.4,1.9,0.75,0.4,2.1,2.4,4.9,0.9,0.0,1.6,1.4,7.1,462348,1263.2459016393443,8.9,99.85,5000000.0,NY/WSH,81,22.2,0.25,-1.5,-1.25,2.15,,
219,234,Larry Nance Jr.,PF,24,22.9,3.0,5.7,0.526,0.2,0.6,0.278,2.9,5.2,0.5539999999999999,0.54,0.9,1.3,0.738,1.9,4.0,5.9,1.5,1.3,0.6,0.9,2.4,7.1,185943,519.3938547486033,10.1,101.0,,LAL,63,22.9,-1.26,2.16,0.9,3.79,,
220,235,Anthony Tolliver,PF,31,22.7,2.4,5.4,0.442,1.4,3.5,0.391,1.0,1.9,0.537,0.57,0.9,1.3,0.7440000000000001,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,57078,155.95081967213116,7.3,97.77,,SAC,65,22.7,-0.07,-0.97,-1.04,1.93,11.0,2.0
221,237,Josh Huestis,PF,25,15.5,3.0,5.5,0.545,1.0,2.0,0.5,2.0,3.5,0.5710000000000001,0.636,0.0,0.5,0.0,2.0,2.5,4.5,1.5,0.0,1.5,0.0,0.0,7.0,52364,143.07103825136613,13.7,108.61,,OKC,2,15.5,-1.97,0.83,-1.14,0.04,24.5,2.5
222,239,T.J. McConnell,PG,24,26.3,2.9,6.3,0.461,0.1,0.7,0.2,2.8,5.6,0.49200000000000005,0.47200000000000003,0.9,1.1,0.8109999999999999,0.5,2.6,3.1,6.6,1.7,0.1,2.0,1.7,6.9,983,2.824712643678161,10.7,102.22,,PHI,81,26.3,-1.32,0.23,-1.09,2.86,2.0,1.0
223,240,Ian Clark,SG,25,14.8,2.7,5.6,0.48700000000000004,0.8,2.1,0.374,1.9,3.5,0.556,0.5579999999999999,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1.0,6.8,4564,12.469945355191257,9.2,100.62,,GS,77,14.8,-1.08,-1.82,-2.9,0.17,33.5,25.0
224,241,Jared Dudley,PF,31,21.3,2.5,5.4,0.45399999999999996,1.2,3.2,0.379,1.3,2.2,0.5589999999999999,0.565,0.7,1.0,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8,99900,272.95081967213116,7.9,103.23,10470000.0,PHX,64,21.3,-0.67,1.89,1.22,3.94,31.0,4.0
225,243,Patrick Patterson,PF,27,24.6,2.4,5.9,0.401,1.4,3.9,0.37200000000000005,0.9,2.0,0.45799999999999996,0.523,0.7,0.9,0.7170000000000001,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,3707,10.128415300546449,7.5,97.3,6050000.0,TOR,65,24.6,1.05,1.26,2.31,5.4,53.5,8.0
226,244,Bobby Portis,PF,21,15.6,2.9,5.9,0.488,0.5,1.5,0.33299999999999996,2.4,4.4,0.541,0.531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,111318,304.1475409836066,11.0,97.38,1453680.0,CHI,64,15.6,-1.94,-0.5,-2.44,0.43,37.0,73.0
227,244,Bobby Portis,PF,21,15.6,2.9,5.9,0.488,0.5,1.5,0.33299999999999996,2.4,4.4,0.541,0.531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,111318,304.1475409836066,11.0,97.38,1516320.0,CHI,64,15.6,-1.94,-0.5,-2.44,0.43,37.0,73.0
228,246,Brandan Wright,PF,29,16.0,3.0,4.8,0.615,0.0,0.0,0.0,3.0,4.8,0.619,0.615,0.8,1.3,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,60792,166.0983606557377,11.6,93.54,5709880.0,MEM,28,16.0,-0.86,0.4,-0.46,0.71,0.0,6.0
229,247,Alec Burks,SG,25,15.5,2.4,5.9,0.39899999999999997,0.6,1.8,0.32899999999999996,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,44837,122.50546448087432,8.7,95.94,10154495.0,UTAH,42,15.5,-2.47,-0.94,-3.41,-0.12,10.0,15.0
230,249,Raymond Felton,PG,32,21.3,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.8,0.7809999999999999,0.4,2.3,2.7,2.4,0.8,0.3,1.0,1.6,6.7,161426,441.05464480874315,7.8,97.95,,LAC,80,21.3,-1.4,-0.88,-2.28,0.92,9.0,6.5
231,250,Devin Harris,PG,33,16.7,2.1,5.2,0.39899999999999997,0.9,2.7,0.32799999999999996,1.2,2.5,0.47600000000000003,0.484,1.6,2.0,0.8290000000000001,0.2,1.8,2.0,2.1,0.7,0.1,0.9,1.6,6.7,114904,313.94535519125685,9.5,95.46,4227996.0,DAL,65,16.7,0.38,0.32,0.7,2.58,,
232,251,Dwight Powell,C,25,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.5710000000000001,0.542,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,113626,310.4535519125683,10.7,93.78,8375000.0,DAL,77,17.3,-0.66,-0.51,-1.17,1.58,0.0,10.0
233,253,Jaylen Brown,SF,20,17.2,2.5,5.4,0.45399999999999996,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,308763,843.6147540983607,7.1,99.02,4743000.0,BOS,78,17.2,-2.95,-0.42,-3.37,-0.21,0.0,100.0
234,254,Michael Carter-Williams,PG,25,18.8,2.5,6.8,0.366,0.3,1.4,0.23399999999999999,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,339425,927.3907103825137,7.0,98.47,3183526.0,CHI,45,18.8,-2.82,1.12,-1.7,0.77,0.0,5.0
235,255,Dante Cunningham,SF,29,25.0,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,48805,133.34699453551912,6.8,99.77,2978250.0,NO,66,25.0,-0.37,-0.56,-0.93,2.29,0.0,3.0
236,256,Kosta Koufos,C,27,20.0,3.0,5.5,0.551,0.0,0.0,0.0,3.0,5.5,0.552,0.551,0.5,0.9,0.613,1.7,4.0,5.7,0.7,0.5,0.7,0.9,2.4,6.6,82375,225.06830601092895,9.3,96.17,8046500.0,SAC,71,20.0,-2.78,2.83,0.05,2.79,37.0,8.0
237,257,Andre Roberson,SF,25,30.1,2.7,5.9,0.46399999999999997,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,1.4,0.423,1.2,3.9,5.1,1.0,1.2,1.0,0.6,2.6,6.6,3697,10.101092896174864,5.9,101.08,2183072.0,OKC,79,30.1,-1.4,2.64,1.24,6.73,10.0,8.0
238,259,Sam Dekker,SF,22,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.5429999999999999,0.5,0.9,0.5589999999999999,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,6.5,179946,491.655737704918,8.7,102.25,1720560.0,HOU,77,18.4,0.05,-1.42,-1.37,1.64,139.0,13.0
239,260,Amir Johnson,PF,29,20.1,2.7,4.6,0.5760000000000001,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5,136077,371.7950819672131,9.1,97.94,12000000.0,BOS,80,20.1,0.22,3.58,3.8,7.02,31.5,6.0
240,261,Darrell Arthur,PF,28,15.6,2.3,5.2,0.442,1.3,2.9,0.45299999999999996,1.0,2.4,0.429,0.565,0.5,0.5,0.8640000000000001,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,42364,115.74863387978142,7.7,99.85,8070175.0,DEN,41,15.6,-0.91,0.2,-0.71,0.99,,
241,262,Timothe Luwawu-Cabarrot,SF,21,17.2,2.1,5.2,0.402,0.7,2.3,0.311,1.4,2.9,0.475,0.47100000000000003,1.5,1.8,0.8540000000000001,0.4,1.8,2.2,1.1,0.5,0.1,1.1,2.2,6.4,96,1.1428571428571428,5.3,101.64,1386600.0,PHI,69,17.2,-2.27,0.57,-1.7,1.11,,
242,263,Rodney McGruder,SG,25,25.2,2.4,5.9,0.413,0.9,2.8,0.332,1.5,3.1,0.488,0.49200000000000005,0.6,0.9,0.62,1.2,2.1,3.3,1.6,0.6,0.2,0.7,1.8,6.4,41573,113.58743169398907,5.6,96.98,,MIA,78,25.2,-0.58,-0.9,-1.48,2.04,,
243,264,Mirza Teletovic,PF,31,16.2,2.2,6.0,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.6,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,1488,4.144846796657381,6.1,96.72,10500000.0,MIL,70,16.2,-1.05,-0.44,-1.49,1.16,,
244,265,Leandro Barbosa,SG,34,14.4,2.6,5.9,0.439,0.5,1.5,0.35700000000000004,2.0,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,511522,1397.6010928961748,8.3,101.15,4000000.0,PHX,67,14.4,-1.5,-1.5,-3.0,0.08,,
245,266,Mindaugas Kuzminskas,SF,27,14.9,2.3,5.4,0.428,0.8,2.5,0.321,1.5,3.0,0.517,0.501,0.8,1.0,0.809,0.7,1.2,1.9,1.0,0.4,0.2,0.8,1.2,6.3,127396,348.07650273224044,7.5,99.41,2898000.0,NY,68,14.9,-0.8,-1.2,-2.0,0.72,,
246,267,Kyle O'Quinn,C,26,15.6,2.7,5.2,0.521,0.0,0.2,0.11800000000000001,2.7,5.0,0.5379999999999999,0.523,0.8,1.1,0.7709999999999999,2.0,3.6,5.6,1.5,0.5,1.3,1.0,2.2,6.3,91544,250.12021857923497,13.2,97.82,3918750.0,NY,79,15.6,-1.28,1.16,-0.12,2.31,0.0,7.0
247,269,Nemanja Bjelica,PF,28,18.3,2.3,5.5,0.424,0.9,2.7,0.316,1.5,2.8,0.531,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2,89783,245.3087431693989,7.8,97.32,3800000.0,MIN,65,18.3,-0.71,1.94,1.23,3.24,,
248,270,Dante Exum,PG,21,18.6,2.3,5.5,0.42700000000000005,0.7,2.3,0.295,1.7,3.2,0.519,0.488,0.9,1.1,0.795,0.5,1.5,2.0,1.7,0.3,0.2,1.2,2.2,6.2,208543,569.7896174863388,5.4,94.42,3940320.0,UTAH,66,18.6,-2.14,-0.65,-2.79,0.25,48.5,28.0
249,272,Spencer Hawes,PF,28,14.8,2.5,5.1,0.484,0.5,1.5,0.309,2.0,3.6,0.556,0.529,0.8,1.0,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,93629,255.8169398907104,10.9,100.06,6348759.0,MIL/CHA,54,14.8,-2.13,-0.87,-3.0,0.06,12.0,4.0
250,273,Trey Lyles,PF,21,16.3,2.2,6.2,0.36200000000000004,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,1.1,0.722,0.7,2.6,3.3,1.0,0.4,0.3,0.9,1.4,6.2,157163,429.40710382513663,7.6,94.43,2340600.0,UTAH,71,16.3,-2.48,-0.23,-2.71,0.29,48.0,12.0
251,274,Mike Muscala,C,25,17.7,2.4,4.8,0.504,0.7,1.6,0.418,1.8,3.2,0.546,0.573,0.7,0.9,0.7659999999999999,1.1,2.3,3.4,1.4,0.4,0.6,0.8,1.4,6.2,54578,149.12021857923497,9.7,99.78,,ATL,70,17.7,-0.02,-0.36,-0.38,2.11,,
252,275,Chandler Parsons,SF,28,19.9,2.2,6.5,0.33799999999999997,0.7,2.7,0.26899999999999996,1.5,3.8,0.38799999999999996,0.39399999999999996,1.0,1.3,0.8140000000000001,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,305209,833.9043715846994,5.6,94.04,22116750.0,MEM,34,19.9,-3.51,-0.33,-3.84,-0.29,59.0,16.0
253,276,Ramon Sessions,PG,30,16.2,2.0,5.3,0.38,0.4,1.2,0.33899999999999997,1.6,4.0,0.39299999999999996,0.42,1.8,2.4,0.7709999999999999,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2,75682,206.78142076502732,7.9,99.63,6000000.0,CHA,50,16.2,-1.65,-1.4,-3.05,0.04,,
254,277,Jonathon Simmons,SG,27,17.8,2.3,5.4,0.42,0.4,1.3,0.294,1.9,4.1,0.461,0.456,1.3,1.7,0.75,0.3,1.8,2.1,1.6,0.6,0.3,1.0,1.9,6.2,322785,881.9262295081967,6.7,97.59,,SA,78,17.8,-2.03,1.12,-0.91,1.94,58.0,40.0
255,278,Troy Williams,SF,22,18.6,2.4,5.6,0.43700000000000006,0.6,2.1,0.29,1.8,3.5,0.524,0.491,0.7,1.1,0.6559999999999999,0.5,1.8,2.3,0.8,0.9,0.3,1.1,2.0,6.2,45013,122.98633879781421,5.5,98.77,1575133.0,HOU/MEM,30,18.6,-3.06,-0.45,-3.51,-0.14,5.0,9.0
256,279,Luc Mbah a Moute,SF,30,22.3,2.4,4.7,0.505,0.5,1.4,0.391,1.9,3.4,0.552,0.562,0.7,1.1,0.6779999999999999,0.6,1.6,2.1,0.5,1.0,0.4,0.6,1.5,6.1,138329,377.948087431694,5.6,98.35,2203000.0,LAC,80,22.3,-1.56,2.32,0.76,4.43,,
257,280,JaVale McGee,C,29,9.6,2.7,4.1,0.652,0.0,0.0,0.0,2.7,4.1,0.6579999999999999,0.652,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,505163,1380.2267759562842,12.5,105.1,1403611.0,GS,77,9.6,0.83,0.11,0.94,2.04,0.0,32.0
258,281,Zaza Pachulia,C,32,18.1,2.3,4.4,0.534,0.0,0.0,0.0,2.3,4.4,0.5379999999999999,0.534,1.4,1.8,0.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1,433189,1183.5765027322404,10.0,102.91,,GS,70,18.1,-0.31,3.23,2.92,5.12,141.5,34.0
259,283,Derrick Williams,PF,25,16.1,2.2,4.9,0.44299999999999995,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.8,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,3555,9.71311475409836,7.4,96.49,,CLE/MIA,50,16.1,-2.66,-1.25,-3.91,-0.4,,
260,284,Alex Abrines,SG,23,15.5,2.0,5.0,0.39299999999999996,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,3042,8.311475409836065,5.2,101.04,5994764.0,OKC,68,15.5,0.13,-2.25,-2.12,0.69,,
261,285,Bismack Biyombo,C,24,22.1,2.2,4.2,0.528,0.0,0.0,,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,838919,2292.1284153005463,8.7,96.83,17000000.0,ORL,81,22.1,-3.33,0.77,-2.56,0.63,,
262,288,Lance Thomas,PF,28,21.0,2.1,5.3,0.39799999999999996,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6.0,101028,276.0327868852459,5.5,98.29,6191000.0,NY,46,21.0,-2.87,-1.73,-4.6,-0.91,,
263,289,Jerian Grant,PG,24,16.3,2.0,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1.0,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,248859,679.9426229508197,8.4,97.0,1643040.0,CHI,63,16.3,0.5,1.07,1.57,3.03,25.0,32.5
264,290,Andrew Harrison,PG,22,20.5,1.6,5.0,0.325,0.6,2.2,0.276,1.0,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,2177,5.948087431693989,5.3,94.76,1312611.0,MEM,72,20.5,-1.2,-0.38,-1.58,1.38,0.0,17.0
265,291,Domantas Sabonis,PF,20,20.1,2.4,5.9,0.39899999999999997,0.6,2.0,0.321,1.7,4.0,0.43799999999999994,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9,489970,1338.7158469945355,4.9,99.61,2440200.0,OKC,81,20.1,-3.9,1.86,-2.04,1.14,0.0,82.0
266,292,Quincy Acy,PF,26,14.7,1.8,4.5,0.41200000000000003,1.0,2.4,0.41100000000000003,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,84232,230.14207650273224,8.3,101.09,1790092.0,DAL/BKN,38,14.7,-2.38,-0.21,-2.59,0.01,4.0,4.0
267,293,Beno Udrih,PG,34,14.4,2.4,5.1,0.467,0.3,0.8,0.344,2.1,4.2,0.491,0.495,0.8,0.9,0.941,0.2,1.3,1.5,3.4,0.3,0.0,0.9,0.7,5.8,85194,232.7704918032787,13.0,95.46,,DET,39,14.4,-0.39,0.13,-0.26,0.98,5.0,8.5
268,294,Tarik Black,C,25,16.3,2.2,4.4,0.51,0.0,0.0,0.5,2.2,4.4,0.51,0.512,1.2,1.6,0.752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,5.7,91096,248.89617486338798,8.5,100.72,6191000.0,LAL,67,16.3,-2.5,1.96,-0.54,1.81,,
269,295,Richard Jefferson,SF,36,20.4,1.9,4.3,0.446,0.8,2.4,0.33299999999999996,1.2,2.0,0.58,0.536,1.0,1.4,0.741,0.4,2.2,2.6,1.0,0.3,0.1,0.7,1.9,5.7,1080208,2951.3879781420765,5.3,98.11,,CLE,79,20.4,-1.16,-0.48,-1.64,1.51,,
270,298,Brandon Bass,PF,31,11.1,2.1,3.6,0.575,0.0,0.1,0.33299999999999996,2.0,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,98525,269.19398907103823,12.2,96.53,,LAC,52,11.1,-1.06,-1.59,-2.65,0.17,,
271,299,Quinn Cook,PG,23,13.4,2.4,4.7,0.5,0.8,1.9,0.423,1.6,2.9,0.55,0.583,0.1,0.4,0.4,0.1,0.4,0.5,1.9,0.3,0.0,0.9,0.9,5.6,126245,344.93169398907105,6.8,96.78,,NO/DAL,14,13.4,-1.44,-1.38,-2.82,0.01,,
272,300,Gerald Green,SF,31,11.4,2.0,4.9,0.409,0.8,2.4,0.35100000000000003,1.2,2.6,0.46299999999999997,0.494,0.7,0.9,0.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,5.6,298193,814.7349726775956,8.1,98.76,,BOS,47,11.4,-1.27,-1.47,-2.74,0.13,,
273,301,Ian Mahinmi,C,30,17.9,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,86347,235.9207650273224,8.2,98.9,15944154.0,WSH,31,17.9,-2.22,3.11,0.89,1.44,10.0,5.0
274,302,Georgios Papagiannis,C,19,16.1,2.5,4.6,0.5489999999999999,0.0,0.1,0.0,2.5,4.5,0.56,0.5489999999999999,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6,115978,316.879781420765,8.2,96.93,2202240.0,SAC,22,16.1,-2.47,-0.3,-2.77,0.08,7.0,3.0
275,303,Delon Wright,PG,24,16.5,1.8,4.3,0.42200000000000004,0.4,1.1,0.33299999999999996,1.4,3.2,0.45299999999999996,0.466,1.6,2.0,0.764,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6,95785,261.70765027322403,10.5,94.48,1577280.0,TOR,27,16.5,-1.28,0.98,-0.3,0.77,11.5,14.0
276,304,Jerami Grant,SF,22,19.1,1.9,4.1,0.46299999999999997,0.5,1.5,0.371,1.4,2.7,0.514,0.529,1.1,1.8,0.612,0.5,2.1,2.6,0.6,0.4,1.0,0.6,1.9,5.5,172823,472.19398907103823,5.8,100.42,,PHI/OKC,80,19.1,-2.42,-2.29,-4.71,-1.56,9.0,3.0
277,305,Boban Marjanovic,C,28,8.4,2.1,3.8,0.545,0.0,0.0,,2.1,3.8,0.545,0.545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,3760,10.415512465373961,19.6,97.2,7000000.0,DET,35,8.4,-0.24,1.66,1.42,0.82,,
278,306,Anthony Morrow,SG,31,14.6,2.0,5.1,0.389,0.8,2.7,0.308,1.2,2.4,0.479,0.47,0.7,0.8,0.919,0.2,0.4,0.6,0.5,0.5,0.0,0.1,0.9,5.5,97843,267.3306010928962,5.5,99.75,3488000.0,CHI/OKC,49,14.6,-0.66,-1.46,-2.12,0.46,0.0,5.0
279,307,Terry Rozier,PG,22,17.1,2.0,5.6,0.36700000000000005,0.8,2.4,0.318,1.3,3.1,0.405,0.43700000000000006,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,97465,266.2978142076503,9.1,98.27,1906440.0,BOS,74,17.1,-1.05,-0.01,-1.06,1.65,2.0,6.0
280,308,Paul Zipser,SF,22,19.2,2.0,5.0,0.39799999999999996,0.8,2.3,0.33299999999999996,1.3,2.8,0.451,0.473,0.7,0.9,0.775,0.3,2.5,2.8,0.8,0.3,0.4,0.9,1.8,5.5,69481,189.83879781420765,5.0,97.93,,CHI,44,19.2,-3.37,-0.19,-3.56,-0.23,,
281,309,Malcolm Delaney,PG,27,17.1,2.0,5.3,0.374,0.4,1.5,0.23600000000000002,1.6,3.8,0.428,0.40700000000000003,1.0,1.3,0.8059999999999999,0.1,1.5,1.7,2.6,0.5,0.0,1.3,1.5,5.4,106111,289.92076502732243,6.4,98.7,2500000.0,ATL,73,17.1,-2.64,-0.25,-2.89,0.18,1.0,1.0
282,310,Joffrey Lauvergne,PF-C,25,14.0,2.1,4.8,0.44,0.5,1.4,0.337,1.6,3.4,0.483,0.49,0.7,1.0,0.63,1.0,2.6,3.6,1.0,0.4,0.1,0.8,1.2,5.4,84430,230.6830601092896,9.4,98.86,1709719.0,CHI/OKC,70,14.0,-1.22,-1.27,-2.49,0.39,,
283,310,Joffrey Lauvergne,PF-C,25,14.0,2.1,4.8,0.44,0.5,1.4,0.337,1.6,3.4,0.483,0.49,0.7,1.0,0.63,1.0,2.6,3.6,1.0,0.4,0.1,0.8,1.2,5.4,84430,230.6830601092896,9.4,98.86,1524305.0,CHI/OKC,70,14.0,-1.22,-1.27,-2.49,0.39,,
284,311,Meyers Leonard,PF,24,16.5,2.0,5.1,0.386,1.0,2.9,0.34700000000000003,1.0,2.2,0.436,0.484,0.5,0.5,0.875,0.4,2.8,3.2,1.0,0.2,0.4,0.5,2.3,5.4,148197,404.90983606557376,6.1,99.44,9213483.0,POR,74,16.5,-1.5,0.26,-1.24,1.48,149.0,31.0
285,312,Alexis Ajinca,C,28,15.0,2.3,4.6,0.5,0.0,0.1,0.0,2.3,4.5,0.511,0.5,0.7,1.0,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,1799,4.915300546448087,8.8,100.43,4638203.0,NO,39,15.0,-3.17,1.64,-1.53,0.6,,
286,314,Chasson Randle,PG,23,11.5,1.5,3.8,0.408,0.6,1.8,0.34,0.9,2.0,0.47100000000000003,0.49,1.6,1.7,0.953,0.2,1.0,1.2,1.3,0.3,0.1,0.7,1.5,5.3,47492,129.75956284153006,8.4,98.49,1312611.0,NY/PHI,26,11.5,-0.74,-1.36,-2.1,0.2,13.5,7.0
287,315,Willie Reed,C,26,14.5,2.3,4.0,0.568,0.0,0.1,0.25,2.3,4.0,0.573,0.57,0.7,1.2,0.557,1.8,2.9,4.7,0.4,0.3,0.7,0.4,1.9,5.3,63413,173.25956284153006,10.8,98.26,,MIA,71,14.5,-2.42,1.25,-1.17,1.28,,
288,316,Omri Casspi,SF,28,17.9,2.1,4.6,0.47,0.4,1.2,0.349,1.7,3.4,0.512,0.515,0.5,0.8,0.586,0.8,2.4,3.1,1.0,0.6,0.1,0.8,1.4,5.2,98865,270.12295081967216,6.9,98.23,,NO/MIN/SAC,36,17.9,-2.35,0.05,-2.3,0.22,24.0,7.0
289,317,Mike Dunleavy,SF,36,15.9,1.8,4.2,0.423,1.0,2.5,0.396,0.8,1.6,0.465,0.5429999999999999,0.7,0.8,0.8,0.3,1.8,2.2,0.9,0.3,0.1,0.5,1.3,5.2,2880,7.933884297520661,7.7,98.53,4837500.0,ATL/CLE,53,15.9,-2.26,0.05,-2.21,0.49,,
290,318,Randy Foye,SG,33,18.6,1.7,4.7,0.363,1.0,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,5.2,172759,472.0191256830601,5.7,103.71,2500000.0,BKN,69,18.6,-2.7,-1.42,-4.12,-0.85,2.0,4.0
291,319,Cameron Payne,PG,22,14.9,2.1,6.2,0.332,0.9,2.8,0.314,1.2,3.5,0.34600000000000003,0.402,0.2,0.3,0.625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2,213458,583.2185792349727,4.1,98.86,2112480.0,CHI/OKC,31,14.9,-4.14,-0.31,-4.45,-0.39,38.5,21.0
292,320,Dewayne Dedmon,C,27,17.5,2.1,3.4,0.622,0.0,0.0,,2.1,3.4,0.622,0.622,0.9,1.2,0.6990000000000001,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,99373,271.5109289617486,12.4,95.97,2898000.0,SA,76,17.5,-1.63,3.94,2.31,4.49,,
293,321,Cheick Diallo,PF,20,11.7,2.1,4.5,0.474,0.0,0.0,,2.1,4.5,0.474,0.474,0.9,1.2,0.7140000000000001,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,5.1,101222,276.56284153005464,11.3,101.07,,NO,17,11.7,-2.54,-0.85,-3.39,-0.03,,
