,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,pageview_sum,pageview_mean,PIE,PACE,SALARY,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
159,170,Joe Johnson,SF,35,23.6,3.5,8.0,0.436,1.4,3.3,0.41100000000000003,2.1,4.7,0.45399999999999996,0.521,0.8,1.0,0.818,0.4,2.7,3.1,1.8,0.5,0.2,0.9,1.2,9.2,11271,30.795081967213115,9.5,93.26,11000000.0,UTAH,78,23.6,0.79,-1.56,-0.77,2.58,,
160,171,Michael Kidd-Gilchrist,SF,23,29.0,3.6,7.6,0.47700000000000004,0.0,0.1,0.111,3.6,7.5,0.483,0.478,1.9,2.4,0.784,1.9,5.0,7.0,1.4,1.0,1.0,0.7,2.3,9.2,236845,647.1174863387978,9.3,97.79,13000000.0,CHA,81,29.0,-1.97,2.47,0.5,5.31,29.0,11.0
161,172,Jameer Nelson,PG,34,27.3,3.6,8.1,0.444,1.4,3.6,0.38799999999999996,2.2,4.4,0.489,0.531,0.6,0.8,0.7140000000000001,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,159240,435.08196721311475,7.5,100.06,4540525.0,DEN,75,27.3,0.45,-0.44,0.01,4.17,0.0,9.0
162,173,Tony Allen,SG,35,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,7154,19.546448087431695,8.0,93.85,5505618.0,MEM,71,27.0,-2.03,2.15,0.12,3.76,10.5,11.0
163,174,Channing Frye,C,33,18.9,3.2,7.0,0.45799999999999996,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1.0,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,451543,1233.724043715847,10.1,98.14,7806971.0,CLE,74,18.9,1.62,-0.58,1.04,3.7,8.0,4.0
164,175,Montrezl Harrell,C,23,18.3,3.9,5.9,0.652,0.0,0.1,0.14300000000000002,3.9,5.8,0.6629999999999999,0.654,1.3,2.1,0.628,1.4,2.4,3.8,1.1,0.3,0.7,0.8,2.2,9.1,83030,226.85792349726776,10.8,102.52,,HOU,58,18.3,-0.39,-0.6,-0.99,1.5,11.0,4.0
165,177,Jodie Meeks,SG,29,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,86753,237.03005464480876,8.1,100.24,6540000.0,ORL,36,20.5,-0.05,-1.6,-1.65,0.7,36.5,15.0
166,178,Dahntay Jones,SF,36,12.0,3.0,8.0,0.375,0.0,2.0,0.0,3.0,6.0,0.5,0.375,3.0,4.0,0.75,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,9.0,254018,694.0382513661202,7.6,85.92,,CLE,1,12.0,-1.68,-0.38,-2.06,0.01,0.0,99.5
167,179,Doug McDermott,SF,25,22.8,3.4,7.5,0.447,1.2,3.2,0.37,2.2,4.4,0.502,0.524,1.1,1.3,0.845,0.3,2.4,2.7,0.9,0.2,0.1,0.6,1.2,9.0,251023,685.8551912568306,7.7,97.63,2483040.0,CHI/OKC,66,22.8,-0.61,-3.92,-4.53,-1.33,,
168,180,Kelly Olynyk,C,25,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.6,0.732,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,9.0,191661,523.6639344262295,11.0,99.85,3094014.0,BOS,75,20.5,-0.31,0.81,0.5,3.54,56.5,16.0
169,181,Evan Turner,SF,28,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.45399999999999996,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0,286667,783.2431693989071,8.8,99.29,16393443.0,POR,65,25.5,-3.04,0.15,-2.89,0.25,17.0,13.0
170,182,DeMarre Carroll,SF,30,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.7609999999999999,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,235229,642.7021857923497,7.1,96.82,14200000.0,TOR,72,26.1,0.0,0.83,0.83,4.66,29.5,8.0
